2025-03-11 19:38:27,526 INFO    Thread-59 :107151 [wandb_setup.py:_flush():67] Current SDK version is 0.19.8
2025-03-11 19:38:27,527 INFO    Thread-59 :107151 [wandb_setup.py:_flush():67] Configure stats pid to 107151
2025-03-11 19:38:27,527 INFO    Thread-59 :107151 [wandb_setup.py:_flush():67] Loading settings from /home/mezallamosas.j/.config/wandb/settings
2025-03-11 19:38:27,527 INFO    Thread-59 :107151 [wandb_setup.py:_flush():67] Loading settings from /home/mezallamosas.j/nlp2025/wandb/settings
2025-03-11 19:38:27,527 INFO    Thread-59 :107151 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-03-11 19:38:27,527 INFO    Thread-59 :107151 [wandb_init.py:setup_run_log_directory():647] Logging user logs to /home/mezallamosas.j/nlp2025/wandb/run-20250311_193827-ysjynhf7/logs/debug.log
2025-03-11 19:38:27,527 INFO    Thread-59 :107151 [wandb_init.py:setup_run_log_directory():648] Logging internal logs to /home/mezallamosas.j/nlp2025/wandb/run-20250311_193827-ysjynhf7/logs/debug-internal.log
2025-03-11 19:38:27,527 INFO    Thread-59 :107151 [wandb_init.py:monkeypatch_ipython():599] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x2b6c94360340>
2025-03-11 19:38:27,527 INFO    Thread-59 :107151 [wandb_init.py:init():761] calling init triggers
2025-03-11 19:38:27,527 INFO    Thread-59 :107151 [wandb_init.py:init():766] wandb.init called with sweep_config: {'batch_size': 128, 'embeddings_size': 50, 'epochs': 5, 'hidden_units': 512, 'lr': 0.001, 'ngram': 3, 'test_pct': 0.1}
config: {'_wandb': {}}
2025-03-11 19:38:27,527 INFO    Thread-59 :107151 [wandb_init.py:init():784] starting backend
2025-03-11 19:38:27,528 INFO    Thread-59 :107151 [wandb_init.py:init():788] sending inform_init request
2025-03-11 19:38:27,530 INFO    Thread-59 :107151 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-03-11 19:38:27,530 INFO    Thread-59 :107151 [wandb_init.py:init():798] backend started and connected
2025-03-11 19:38:27,538 INFO    Thread-59 :107151 [wandb_run.py:_config_callback():1261] config_cb None None {'batch_size': 128, 'embeddings_size': 50, 'epochs': 5, 'hidden_units': 512, 'lr': 0.001, 'ngram': 3, 'test_pct': 0.1}
2025-03-11 19:38:27,548 INFO    Thread-59 :107151 [wandb_run.py:_label_probe_notebook():1204] probe notebook
2025-03-11 19:38:27,548 INFO    Thread-59 :107151 [wandb_run.py:_label_probe_notebook():1214] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2025-03-11 19:38:27,548 INFO    Thread-59 :107151 [wandb_init.py:init():891] updated telemetry
2025-03-11 19:38:27,608 INFO    Thread-59 :107151 [wandb_init.py:init():915] communicating run to backend with 90.0 second timeout
2025-03-11 19:38:27,839 INFO    Thread-59 :107151 [wandb_init.py:init():990] starting run threads in backend
2025-03-11 19:38:28,166 INFO    Thread-59 :107151 [wandb_run.py:_console_start():2375] atexit reg
2025-03-11 19:38:28,166 INFO    Thread-59 :107151 [wandb_run.py:_redirect():2227] redirect: wrap_raw
2025-03-11 19:38:28,166 INFO    Thread-59 :107151 [wandb_run.py:_redirect():2292] Wrapping output streams.
2025-03-11 19:38:28,166 INFO    Thread-59 :107151 [wandb_run.py:_redirect():2315] Redirects installed.
2025-03-11 19:38:28,167 INFO    Thread-59 :107151 [wandb_init.py:init():1032] run started, returning control to user process
2025-03-11 19:39:49,343 INFO    Thread-59 :107151 [wandb_run.py:_finish():2112] finishing run biofx/neural-language-model/ysjynhf7
2025-03-11 19:39:49,344 INFO    Thread-59 :107151 [jupyter.py:save_history():458] not saving jupyter history
2025-03-11 19:39:49,344 INFO    Thread-59 :107151 [jupyter.py:save_ipynb():386] not saving jupyter notebook
2025-03-11 19:39:49,344 INFO    Thread-59 :107151 [wandb_init.py:_jupyter_teardown():581] cleaning up jupyter logic
2025-03-11 19:39:49,344 INFO    Thread-59 :107151 [wandb_run.py:_atexit_cleanup():2340] got exitcode: 0
2025-03-11 19:39:49,345 INFO    Thread-59 :107151 [wandb_run.py:_restore():2322] restore
2025-03-11 19:39:49,345 INFO    Thread-59 :107151 [wandb_run.py:_restore():2328] restore done
2025-03-11 19:39:49,964 INFO    Thread-59 :107151 [wandb_run.py:_footer_history_summary_info():3956] rendering history
2025-03-11 19:39:49,965 INFO    Thread-59 :107151 [wandb_run.py:_footer_history_summary_info():3988] rendering summary
2025-03-11 19:39:49,967 INFO    Thread-59 :107151 [wandb_run.py:_footer_sync_info():3917] logging synced files
